Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
pkey,0,100.0,integer,123004,9806107532: 30; 9804209725: 30; 9811217935: 30
NobatAmargiri,0,100.0,integer,4,"4: 179,322; 2: 179,066; 3: 177,961"
F2Kol_DJAYGOZIN,0,100.0,integer,2,"2: 681,116; 1: 28,172"
F2Kol_D20,0,100.0,integer,1,"1: 709,288"
F2Kol_D21,709288,-0.0,integer,1,
F2_D01,0,100.0,integer,18,"1: 211,518; 2: 194,174; 3: 149,299"
F2_D03,0,100.0,string,11,"3: 305,358; 1: 212,910; 2: 174,836"
F2_D04,0,100.0,integer,2,"2: 356,726; 1: 352,562"
F2_D05,0,100.0,string,15,"01: 85,591; 06: 85,383; 03: 60,464"
F2_D06,0,100.0,string,102,"65: 14,519; 63: 13,781; 64: 13,670"
F2_D07,0,100.0,string,101,"33: 14,276; 35: 13,883; 34: 13,749"
F2_D08,0,100.0,integer,3,"1: 697,270; 2: 11,215; 3: 803"
F2_D09,0,100.0,integer,4,"1: 705,974; 2: 3,155; 3: 140"
F2_D10,8399,98.81585477267343,integer,3,"2: 669,203; 1: 31,686"
F2_D11,677602,4.467296782125175,integer,7,"1: 26,372; 4: 2,348; 2: 1,926"
F2_D12,703974,0.7492020166702362,string,11,"8: 2,598; 9: 912; 7: 442"
F2_D13,706815,0.3486595007951676,string,33,23: 810; 06: 162; 30: 112
F2_D14,709148,0.019738103563005094,integer,6,3: 79; 2: 30; 6: 21
F2_D15,71082,89.9784008752439,integer,3,"2: 482,555; 1: 155,651"
F2_D16,71082,89.9784008752439,integer,3,"1: 544,910; 2: 93,296"
F2_D17,164378,76.82492866085427,integer,10,"1: 203,152; 2: 121,625; 4: 103,529"
F2_D18,489325,31.01180338593068,string,13,"02: 62,435; 05: 41,496; 07: 40,009"
F2_D19,121274,82.90200877499689,string,6,"1: 369,158; 4: 181,556; 2: 29,906"
F3_D01,121274,82.90200877499689,integer,3,"2: 411,076; 1: 176,938"
F3_D02,298212,57.956147573341156,integer,3,"2: 405,885; 1: 5,191"
F3_D03,303403,57.22428689051555,integer,3,"2: 389,483; 1: 16,402"
F3_D04,319805,54.91182707165496,integer,3,"2: 387,950; 1: 1,533"
F3_D05,321338,54.695694837640005,integer,3,"2: 386,539; 1: 1,411"
F3_D06,322749,54.49676295101567,integer,3,"2: 378,981; 1: 7,558"
F3_D07,701730,1.0655756194944743,string,15,"01: 2,820; 07: 1,219; 03: 1,112"
F3_D08,500413,29.448545583740316,integer,3,"2: 198,154; 1: 10,721"
F3_D09,500255,29.470821443475714,string,415,"6121: 20,990; 5224: 17,353; 6111: 15,725"
F3_D10,500255,29.470821443475714,string,430,"41000: 16,652; 01440: 16,047; 01110: 11,139"
F3_D11,500255,29.470821443475714,integer,11,"2: 85,606; 4: 71,799; 5: 27,787"
F3_D12,528323,25.51361365200031,string,8,"1: 148,690; 2: 15,141; 3: 6,697"
F3_D13,500255,29.470821443475714,string,5,"2: 136,401; 1: 72,475; &: 157"
F3_D14SAL,500257,29.47053947056767,integer,83,"0: 17,622; 10: 15,896; 2: 14,112"
F3_D14MAH,500257,29.47053947056767,integer,13,"0: 157,982; 6: 9,823; 3: 9,406"
F3_D15SAL,500257,29.47053947056767,integer,84,"20: 13,420; 15: 12,345; 10: 12,222"
F3_D15MAH,500257,29.47053947056767,integer,13,"0: 167,227; 3: 8,083; 6: 8,058"
F3_D16SHASLIR,500389,29.451929258636834,integer,8,"6: 83,904; 7: 63,877; 5: 20,076"
F3_D16SHASLIS,500389,29.451929258636834,integer,114,"48: 44,050; 60: 14,590; 56: 13,405"
F3_D16SHHAMRO,500389,29.451929258636834,integer,8,"6: 83,610; 7: 66,192; 5: 19,670"
F3_D16SHHAMSA,500389,29.451929258636834,integer,117,"48: 43,756; 60: 14,779; 56: 13,719"
F3_D17,629027,11.315713786219417,string,12,"1: 20,014; 6: 16,807; 7: 14,892"
F3_D18SHANBEH,500269,29.46884763311941,integer,25,"8: 70,586; 10: 29,838; 0: 20,666"
F3_D18YEKSHAN,500274,29.4681427008493,integer,25,"8: 69,101; 10: 28,947; 0: 27,673"
F3_D18DOSHANB,500269,29.46884763311941,integer,26,"8: 65,897; 0: 31,719; 10: 27,907"
F3_D18SESHANB,500279,29.467437768579195,integer,25,"8: 64,674; 0: 35,804; 10: 27,648"
F3_D18CHARSHA,500277,29.46771974148724,integer,26,"8: 62,117; 0: 40,570; 10: 26,761"
F3_D18PANSHAN,500294,29.46532297176887,integer,25,"8: 58,006; 0: 51,804; 10: 25,715"
F3_D18JOMEH,500467,29.440932315223158,integer,25,"0: 134,296; 8: 16,380; 10: 11,633"
F3_D18JAM,500262,29.469834538297558,integer,123,"48: 35,172; 56: 12,944; 40: 12,931"
F3_D19,670720,5.4375655587011185,string,12,"1: 17,570; 8: 5,798; 9: 4,529"
F3_D20,705280,0.5650737077181667,string,5,"1: 2,675; 2: 1,242; &: 91"
F3_D21,500255,29.470821443475714,string,5,"2: 167,480; 1: 41,536; &: 17"
F3_D22,667752,5.8560133542369215,string,5,"1: 39,590; 2: 1,942; &: 4"
F3_D23,669692,5.582499633435223,string,7,"1: 20,596; 4: 8,589; 2: 5,896"
F3_D24,500267,29.469129606027455,string,5,"2: 191,981; 1: 17,030; &: 10"
F3_D25,692256,2.4012812848941523,string,9,"1: 14,941; 4: 1,156; 3: 632"
F3_D26,692549,2.3599722538658496,string,6,"3: 7,013; 2: 5,633; 1: 4,045"
F3_D27ROZ,500487,29.43811258614273,integer,9,"6: 109,635; 7: 62,530; 5: 18,817"
F3_D27SAAT,500487,29.43811258614273,integer,120,"48: 58,698; 60: 20,432; 56: 15,007"
F3_D28,698567,1.5115157735644758,string,220,"6111: 3,433; 6121: 3,039; 6112: 1,335"
F3_D29,698567,1.5115157735644758,integer,225,"1110: 2,428; 1440: 1,723; 1411: 1,385"
F3_D30,698567,1.5115157735644758,string,13,"02: 7,926; 03: 1,236; 04: 913"
F3_D31,330309,53.430905358613145,integer,3,"2: 355,379; 1: 23,600"
F3_D1_32,685790,3.312899696597149,integer,3,"2: 17,862; 1: 5,636"
F3_D2_32,685790,3.312899696597149,integer,3,"2: 15,876; 1: 7,622"
F3_D3_32,685790,3.312899696597149,integer,3,"2: 13,000; 1: 10,498"
F3_D4_32,685790,3.312899696597149,integer,3,"1: 21,690; 2: 1,808"
F3_D5_32,685790,3.312899696597149,integer,3,"2: 18,967; 1: 4,531"
F3_D6_32,685790,3.312899696597149,integer,3,"2: 22,438; 1: 1,060"
F3_D7_32,685790,3.312899696597149,integer,3,"2: 14,443; 1: 9,055"
F3_D8_32,685688,3.3272803149073438,integer,3,"2: 21,648; 1: 1,952"
F3_D9_32,709287,0.00014098645402249588,integer,2,1: 1
F3_D33,353906,50.10404800306787,integer,13,"10: 181,029; 9: 100,953; 11: 23,392"
F3_D34,685000,3.4242789952741326,integer,3,"1: 23,791; 2: 497"
F3_D35SAL,685497,3.3542087276254517,string,25,"00: 10,684; 01: 4,892; 02: 3,463"
F3_D35MAH,685497,3.3542087276254517,string,15,"00: 10,590; 01: 2,727; 02: 2,235"
F3_D36,685497,3.3542087276254517,string,9,"1: 13,794; 2: 6,971; 3: 1,696"
F3_D37SAL,695463,1.9491377268472054,integer,55,"2: 2,427; 1: 1,027; 3: 959"
F3_D37MAH,695463,1.9491377268472054,integer,13,"0: 11,272; 6: 671; 8: 310"
F3_D38,695459,1.9497016726632954,string,5,"2: 13,313; 1: 505; &: 11"
F3_D39,685497,3.3542087276254517,string,5,"1: 13,614; 2: 10,175; &: 2"
F3_D40SAL,695677,1.9189666256866023,integer,7,"0: 8,356; 1: 2,498; 2: 1,573"
F3_D40MAH,695677,1.9189666256866023,integer,13,"0: 4,141; 1: 2,263; 2: 1,738"
F3_D41,695673,1.9195305715026922,string,344,"9314: 2,298; 0510: 2,044; 5224: 981"
F3_D42,695673,1.9195305715026922,string,356,"41000: 2,507; 84220: 1,799; 43300: 393"
F3_D43,695674,1.9193895850486697,string,14,"04: 8,810; 05: 2,347; 02: 1,991"
F3_D44,695674,1.9193895850486697,string,17,"04: 3,521; 11: 2,057; 01: 2,005"
F3_D45,701396,1.1126650951376549,integer,3,"1: 7,558; 2: 334"
F3_D46,708456,0.1173007297458839,string,8,5: 314; 4: 240; 2: 104
F3_D47,354098,50.07697860389574,integer,6,"2: 185,595; 1: 101,075; 3: 23,995"
F3_D48SAAT,685547,3.3471594049243714,string,35,"008: 7,790; 08: 7,695; 006: 1,570"
F3_D48ROZ,685546,3.347300391378394,string,11,"6: 18,933; 7: 2,193; 5: 1,564"
F3_D49,685492,3.354913659895553,string,5,"2: 18,654; 1: 4,826; &: 316"
F3_D50,685492,3.354913659895553,string,6,"3: 16,387; 2: 5,103; 1: 1,822"
IW_Yearly,0,100.0,floating,119895,119.776825: 84; 113.496625: 81; 176.77215: 80
