Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
pkey,0,100.0,integer,120996,4212653: 38; 4214052: 36; 12210052: 28
NobatAmargiri,0,100.0,integer,4,"4: 175,460; 3: 174,675; 2: 173,478"
F2Kol_DJAYGOZIN,0,100.0,integer,2,"2: 674,593; 1: 15,181"
F2Kol_D20,0,100.0,integer,1,"1: 689,774"
F2Kol_D21,689774,-0.0,integer,1,
F2_D01,0,100.0,integer,19,"1: 208,459; 2: 188,966; 3: 144,355"
F2_D03,0,100.0,string,11,"3: 295,694; 1: 209,823; 2: 170,280"
F2_D04,0,100.0,integer,2,"2: 345,666; 1: 344,108"
F2_D05,0,100.0,string,14,"06: 78,390; 01: 77,278; --: 76,474"
F2_D06,0,100.0,string,102,"--: 17,482; 65: 13,641; 64: 13,242"
F2_D07,0,100.0,string,101,"35: 13,784; 36: 13,414; 05: 13,088"
F2_D08,0,100.0,integer,3,"1: 678,167; 2: 10,817; 3: 790"
F2_D09,0,100.0,integer,4,"1: 688,354; 2: 1,325; 3: 78"
F2_D10,5787,99.16102955460774,integer,3,"2: 669,624; 1: 14,363"
F2_D11,675411,2.082276223806634,integer,7,"1: 12,133; 4: 1,027; 2: 756"
F2_D12,687544,0.3232942963927288,string,12,"8: 1,040; 9: 408; 7: 245"
F2_D13,688701,0.1555581973226028,integer,32,23: 298; 6: 67; 30: 59
F2_D14,689696,0.011308051622704873,integer,6,3: 59; 6: 11; 2: 4
F2_D15,58865,91.46604540037751,integer,3,"2: 469,291; 1: 161,618"
F2_D16,58865,91.46604540037751,integer,3,"1: 545,118; 2: 85,791"
F2_D17,144656,79.0284933905888,integer,10,"1: 199,951; 2: 123,209; 4: 101,984"
F2_D18,467918,32.16357821547348,string,13,"02: 64,547; 05: 40,055; 07: 39,154"
F2_D19,110031,84.04825348592438,string,6,"1: 357,142; 4: 183,620; 2: 31,292"
F3_D01,110031,84.04825348592438,integer,3,"2: 415,159; 1: 164,584"
F3_D02,274615,60.18768466193275,integer,3,"2: 411,003; 1: 4,156"
F3_D03,278771,59.58516847547168,integer,3,"2: 399,100; 1: 11,903"
F3_D04,290674,57.85953080284267,integer,3,"2: 397,932; 1: 1,168"
F3_D05,291842,57.6901999785437,integer,3,"2: 396,581; 1: 1,351"
F3_D06,293193,57.49433872543761,integer,3,"2: 388,363; 1: 8,218"
F3_D07,681556,1.1914047209665823,integer,12,"1: 2,967; 11: 1,811; 7: 1,121"
F3_D08,498584,27.717774227500602,integer,3,"2: 182,468; 1: 8,722"
F3_D09,498394,27.745319481453347,string,412,"6121: 17,122; 9314: 16,457; 5224: 14,947"
F3_D10,498394,27.745319481453347,string,432,"41000: 18,296; 01440: 13,463; 01110: 10,202"
F3_D11,498394,27.745319481453347,integer,11,"2: 76,596; 4: 70,417; 5: 26,338"
F3_D12,524924,23.899132179525473,string,8,"1: 134,466; 2: 14,035; 3: 6,255"
F3_D13,498394,27.745319481453347,string,5,"2: 118,379; 1: 72,914; &: 87"
F3_D14SAL,498394,27.745319481453347,integer,77,"10: 15,796; 0: 13,153; 20: 12,630"
F3_D14MAH,498394,27.745319481453347,integer,13,"0: 148,764; 6: 9,069; 3: 7,886"
F3_D15SAL,498394,27.745319481453347,integer,81,"20: 13,337; 15: 11,166; 10: 10,666"
F3_D15MAH,498394,27.745319481453347,integer,13,"0: 155,455; 6: 7,494; 3: 6,798"
F3_D16SHASLIR,498385,27.746624256640583,integer,9,"6: 83,428; 7: 52,840; 5: 18,371"
F3_D16SHASLIS,498385,27.746624256640583,integer,114,"48: 48,026; 56: 13,100; 60: 12,912"
F3_D16SHHAMRO,498385,27.746624256640583,integer,9,"6: 83,267; 7: 54,692; 5: 18,070"
F3_D16SHHAMSA,498385,27.746624256640583,integer,119,"48: 47,805; 56: 13,310; 60: 13,100"
F3_D17,621488,9.899764270616174,string,12,"1: 17,811; 6: 14,269; 7: 12,859"
F3_D18SHANBEH,498385,27.746624256640583,integer,24,"8: 72,783; 10: 25,133; 0: 19,035"
F3_D18YEKSHAN,498385,27.746624256640583,integer,24,"8: 70,630; 0: 26,817; 10: 24,122"
F3_D18DOSHANB,498385,27.746624256640583,integer,24,"8: 70,849; 10: 24,416; 0: 24,272"
F3_D18SESHANB,498385,27.746624256640583,integer,24,"8: 64,473; 0: 38,565; 10: 22,384"
F3_D18CHARSHA,498385,27.746624256640583,integer,24,"8: 67,552; 0: 31,388; 10: 23,086"
F3_D18PANSHAN,498385,27.746624256640583,integer,24,"8: 56,931; 0: 55,166; 10: 20,415"
F3_D18JOMEH,498386,27.746479281619774,integer,22,"0: 131,203; 8: 15,074; 10: 8,821"
F3_D18JAM,498385,27.746624256640583,integer,117,"48: 38,801; 56: 12,496; 40: 11,662"
F3_D19,655102,5.02657392131336,string,12,"1: 12,723; 9: 6,884; 8: 5,895"
F3_D20,687513,0.3277885220376531,string,5,"1: 1,663; 2: 552; &: 46"
F3_D21,498386,27.746479281619774,string,5,"2: 154,464; 1: 36,920; &: 4"
F3_D22,652853,5.3526227431013655,string,5,"1: 35,414; 2: 1,504; &: 3"
F3_D23,654359,5.134290361770666,string,7,"1: 20,101; 4: 7,191; 2: 4,724"
F3_D24,498386,27.746479281619774,string,5,"2: 177,771; 1: 13,603; &: 14"
F3_D25,676170,1.9722401830164715,string,9,"1: 12,022; 4: 894; 3: 460"
F3_D26,676388,1.9406356284812132,string,6,"3: 5,825; 2: 4,045; 1: 3,485"
F3_D27ROZ,499099,27.64311209178658,integer,9,"6: 105,777; 7: 52,638; 5: 16,928"
F3_D27SAAT,499099,27.64311209178658,integer,116,"48: 61,001; 60: 17,356; 56: 14,328"
F3_D28,681051,1.2646171064725542,integer,194,"6111: 2,849; 6121: 2,593; 6112: 948"
F3_D29,681052,1.2644721314517549,integer,197,"1110: 2,214; 1440: 1,589; 1411: 1,058"
F3_D30,681052,1.2644721314517549,string,11,"02: 6,671; 03: 832; 04: 720"
F3_D31,301411,56.30293400447103,integer,3,"2: 369,032; 1: 19,331"
F3_D1_32,670443,2.8025121271604947,integer,3,"2: 14,507; 1: 4,824"
F3_D2_32,670443,2.8025121271604947,integer,3,"2: 12,856; 1: 6,475"
F3_D3_32,670443,2.8025121271604947,integer,3,"2: 10,614; 1: 8,717"
F3_D4_32,670443,2.8025121271604947,integer,3,"1: 18,054; 2: 1,277"
F3_D5_32,670443,2.8025121271604947,integer,3,"2: 15,891; 1: 3,440"
F3_D6_32,670443,2.8025121271604947,integer,3,"2: 18,503; 1: 828"
F3_D7_32,670443,2.8025121271604947,integer,3,"2: 11,971; 1: 7,360"
F3_D8_32,670443,2.8025121271604947,integer,3,"2: 17,902; 1: 1,429"
F3_D9_32,689774,-0.0,integer,1,
F3_D33,320742,53.50042187731054,integer,13,"10: 187,023; 9: 106,618; 11: 26,419"
F3_D34,669825,2.8921066900173154,integer,3,"1: 19,492; 2: 457"
F3_D35SAL,670282,2.8258531055099234,integer,22,"0: 8,473; 1: 4,035; 2: 2,965"
F3_D35MAH,670282,2.8258531055099234,integer,13,"0: 9,216; 1: 2,484; 2: 1,866"
F3_D36,670282,2.8258531055099234,string,9,"1: 11,434; 2: 5,662; 3: 1,333"
F3_D37SAL,678306,1.662573538579304,integer,56,"2: 1,988; 5: 775; 20: 692"
F3_D37MAH,678305,1.6627185136001033,integer,13,"0: 9,796; 6: 409; 2: 220"
F3_D38,678314,1.6614137384128758,string,5,"2: 11,099; 1: 337; &: 24"
F3_D39,670282,2.8258531055099234,string,5,"1: 11,193; 2: 8,296; &: 3"
F3_D40SAL,678590,1.6214006326709884,integer,7,"0: 7,030; 1: 2,118; 2: 1,257"
F3_D40MAH,678587,1.6218355577333976,integer,13,"0: 3,335; 1: 2,134; 2: 1,532"
F3_D41,678579,1.6229953578998368,integer,310,"9314: 2,423; 510: 1,580; 5224: 815"
F3_D42,678578,1.6231403329206362,string,337,"41000: 2,528; 84220: 1,422; 01610: 399"
F3_D43,678581,1.622705407858227,string,13,"04: 7,546; 05: 1,766; 02: 1,579"
F3_D44,678581,1.622705407858227,string,17,"04: 3,174; 14: 1,686; 11: 1,602"
F3_D45,682373,1.0729601289697799,integer,4,"1: 7,048; 2: 243; 0: 110"
