Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
pkey,0,100.0,integer,121768,9911217935: 30; 9918105638: 30; 9906107532: 30
NobatAmargiri,0,100.0,integer,4,"4: 179,207; 3: 178,139; 2: 175,212"
F2Kol_DJAYGOZIN,0,100.0,integer,2,"2: 682,640; 1: 16,642"
F2Kol_D20,0,100.0,integer,1,"1: 699,282"
F2Kol_D21,699282,-0.0,integer,1,
F2_D01,0,100.0,integer,16,"1: 209,441; 2: 191,304; 3: 147,417"
F2_D03,0,100.0,string,11,"3: 300,866; 1: 210,915; 2: 172,560"
F2_D04,0,100.0,integer,2,"2: 351,480; 1: 347,802"
F2_D05,0,100.0,string,15,"06: 81,754; 01: 81,652; 03: 58,197"
F2_D06,0,100.0,string,102,"--: 14,251; 65: 13,729; 63: 13,591"
F2_D07,0,100.0,string,101,"35: 13,850; 34: 13,568; 36: 13,496"
F2_D08,0,100.0,integer,3,"1: 687,655; 2: 10,810; 3: 817"
F2_D09,0,100.0,integer,4,"1: 697,757; 2: 1,425; 3: 87"
F2_D10,6632,99.05159863974762,integer,3,"2: 675,506; 1: 17,144"
F2_D11,682138,2.4516575573230837,integer,7,"1: 14,166; 4: 1,534; 2: 1,014"
F2_D12,696304,0.4258653876404672,string,11,"8: 1,229; 9: 680; 7: 357"
F2_D13,697706,0.2253740265014681,string,33,23: 557; 09: 88; 06: 84
F2_D14,699195,0.012441332681234485,integer,6,3: 58; 6: 14; 2: 8
F2_D15,65114,90.6884490091265,integer,3,"2: 475,735; 1: 158,433"
F2_D16,65114,90.6884490091265,integer,3,"1: 544,053; 2: 90,115"
F2_D17,155229,77.80165941637279,integer,10,"1: 200,873; 2: 122,963; 4: 102,536"
F2_D18,479177,31.47585666440721,string,13,"02: 63,049; 05: 40,346; 07: 39,856"
F2_D19,115755,83.44659236187975,string,6,"1: 362,804; 4: 182,532; 2: 30,779"
F3_D01,115755,83.44659236187975,integer,3,"2: 419,953; 1: 163,574"
F3_D02,279329,60.05488486762136,integer,3,"2: 414,980; 1: 4,973"
F3_D03,284302,59.343726851255994,integer,3,"2: 401,042; 1: 13,938"
F3_D04,298240,57.35053955342766,integer,3,"2: 399,715; 1: 1,327"
F3_D05,299567,57.160773479082835,integer,3,"2: 398,546; 1: 1,169"
F3_D06,300736,56.99360200891772,integer,3,"2: 388,173; 1: 10,373"
F3_D07,688909,1.4833786655455206,string,14,"11: 4,352; 01: 2,437; 07: 1,318"
F3_D08,504159,27.903335135181518,integer,3,"2: 186,087; 1: 9,036"
F3_D09,503928,27.936369018507555,string,416,"6121: 19,351; 9314: 16,101; 5224: 15,217"
F3_D10,503928,27.936369018507555,string,437,"41000: 18,030; 01440: 14,821; 01110: 10,983"
F3_D11,503928,27.936369018507555,integer,11,"2: 79,045; 4: 70,226; 5: 26,130"
F3_D12,530287,24.166931223740917,string,8,"1: 138,491; 2: 14,131; 3: 6,258"
F3_D13,503928,27.936369018507555,string,5,"2: 124,479; 1: 70,782; &: 93"
F3_D14SAL,503928,27.936369018507555,integer,80,"10: 15,472; 0: 14,063; 20: 12,488"
F3_D14MAH,503928,27.936369018507555,integer,13,"0: 150,017; 6: 9,678; 3: 8,134"
F3_D15SAL,503928,27.936369018507555,integer,83,"20: 13,033; 15: 11,521; 10: 11,022"
F3_D15MAH,503928,27.936369018507555,integer,13,"0: 157,512; 6: 7,847; 3: 6,964"
F3_D16SHASLIR,503928,27.936369018507555,integer,8,"6: 82,831; 7: 55,258; 5: 17,820"
F3_D16SHASLIS,503928,27.936369018507555,integer,111,"48: 46,957; 56: 13,114; 60: 12,856"
F3_D16SHHAMRO,503928,27.936369018507555,integer,8,"6: 82,598; 7: 57,442; 5: 17,408"
F3_D16SHHAMSA,503927,27.93651202233147,integer,117,"48: 46,737; 56: 13,418; 60: 13,032"
F3_D17,625288,10.581424947303086,string,12,"1: 17,140; 6: 14,006; 7: 12,856"
F3_D18SHANBEH,503927,27.93651202233147,integer,24,"8: 67,821; 0: 27,322; 10: 23,879"
F3_D18YEKSHAN,503927,27.93651202233147,integer,23,"8: 67,940; 0: 31,328; 10: 23,475"
F3_D18DOSHANB,503927,27.93651202233147,integer,24,"8: 68,490; 0: 27,981; 10: 23,721"
F3_D18SESHANB,503927,27.93651202233147,integer,24,"8: 63,281; 0: 40,009; 10: 22,173"
F3_D18CHARSHA,503927,27.93651202233147,integer,24,"8: 63,677; 0: 38,500; 10: 22,074"
F3_D18PANSHAN,503927,27.93651202233147,integer,24,"8: 58,428; 0: 52,650; 10: 20,500"
F3_D18JOMEH,503927,27.93651202233147,integer,24,"0: 131,765; 8: 15,521; 10: 8,852"
F3_D18JAM,503927,27.93651202233147,integer,118,"48: 36,586; 56: 12,594; 40: 10,750"
F3_D19,659697,5.6608063699623345,string,12,"9: 13,273; 1: 12,494; 8: 5,487"
F3_D20,696261,0.43201455206912653,string,5,"1: 1,674; 2: 1,260; &: 87"
F3_D21,503928,27.936369018507555,string,5,"2: 153,093; 1: 42,255; &: 6"
F3_D22,657026,6.04276958365867,string,5,"1: 40,485; 2: 1,764; &: 7"
F3_D23,658790,5.79051083825981,string,7,"1: 23,386; 4: 8,479; 2: 5,154"
F3_D24,503929,27.93622601468363,string,5,"2: 180,508; 1: 14,836; &: 9"
F3_D25,684448,2.121318724062682,string,9,"1: 13,042; 4: 1,054; 3: 520"
F3_D26,684731,2.0808486418926853,string,6,"3: 6,566; 2: 4,262; 1: 3,688"
F3_D27ROZ,504587,27.84212949854279,integer,9,"6: 106,484; 7: 55,489; 5: 16,680"
F3_D27SAAT,504587,27.84212949854279,integer,115,"48: 60,499; 60: 18,133; 56: 14,848"
F3_D28,690246,1.2921825529614628,string,202,"6111: 2,955; 6121: 2,836; 6112: 1,008"
F3_D29,690246,1.2921825529614628,string,222,"01110: 2,082; 01440: 1,662; 01411: 1,237"
F3_D30,690246,1.2921825529614628,string,11,"02: 6,880; 03: 889; 04: 742"
F3_D31,311109,55.5102233433722,integer,3,"2: 367,237; 1: 20,936"
F3_D1_32,678348,2.993642049988421,integer,3,"2: 16,030; 1: 4,904"
F3_D2_32,678348,2.993642049988421,integer,3,"2: 14,260; 1: 6,674"
F3_D3_32,678348,2.993642049988421,integer,3,"2: 10,962; 1: 9,972"
F3_D4_32,678348,2.993642049988421,integer,3,"1: 19,499; 2: 1,435"
F3_D5_32,678348,2.993642049988421,integer,3,"2: 17,089; 1: 3,845"
F3_D6_32,678348,2.993642049988421,integer,3,"2: 20,047; 1: 887"
F3_D7_32,678348,2.993642049988421,integer,3,"2: 13,236; 1: 7,698"
F3_D8_32,678348,2.993642049988421,integer,3,"2: 19,311; 1: 1,623"
F3_D9_32,699282,-0.0,integer,1,
F3_D33,332043,52.516581293383794,integer,13,"10: 186,246; 9: 103,569; 11: 25,329"
F3_D34,677592,3.1017529408736366,integer,3,"1: 21,226; 2: 464"
F3_D35SAL,678056,3.0353991665737157,integer,21,"0: 10,229; 1: 4,058; 2: 2,863"
F3_D35MAH,678056,3.0353991665737157,integer,13,"0: 9,151; 1: 2,356; 3: 2,154"
F3_D36,678056,3.0353991665737157,string,9,"1: 13,181; 2: 5,748; 3: 1,353"
F3_D37SAL,686087,1.8869354566541152,integer,55,"2: 2,092; 3: 922; 5: 921"
F3_D37MAH,686087,1.8869354566541152,integer,13,"0: 10,989; 6: 566; 2: 280"
F3_D38,686103,1.8846473954713505,string,5,"2: 12,756; 1: 408; &: 15"
F3_D39,678056,3.0353991665737157,string,5,"1: 12,887; 2: 8,338; &: 1"
F3_D40SAL,686401,1.8420322559425273,integer,7,"0: 8,628; 1: 2,161; 2: 1,219"
F3_D40MAH,686404,1.8416032444707575,integer,13,"0: 3,422; 1: 2,029; 3: 1,716"
F3_D41,686396,1.8427472750621399,string,325,"9314: 2,650; 0510: 1,672; 5224: 894"
F3_D42,686396,1.8427472750621399,string,350,"41000: 2,767; 84220: 1,490; 01610: 463"
F3_D43,686395,1.8428902788860557,integer,11,"4: 8,792; 5: 1,926; 2: 1,804"
F3_D44,686395,1.8428902788860557,string,17,"04: 3,353; 14: 2,673; 11: 1,720"
F3_D45,692115,1.024908406050773,integer,3,"1: 6,814; 2: 353"
F3_D46,698465,0.11683412414448258,string,8,5: 435; 4: 154; 3: 88
F3_D47,332335,52.47482417679849,integer,6,"2: 189,323; 1: 103,937; 3: 26,032"
F3_D48SAAT,678149,3.0220998109489416,integer,17,"8: 14,555; 6: 2,167; 10: 1,329"
F3_D48ROZ,678156,3.0210987841814863,integer,9,"6: 17,157; 7: 2,134; 5: 1,214"
F3_D49,678053,3.0358281780454854,string,5,"2: 16,915; 1: 4,161; &: 153"
F3_D50,678053,3.0358281780454854,string,6,"3: 14,591; 2: 4,744; 1: 1,579"
IW_Yearly,0,100.0,floating,120246,73.66857900513978: 80; 155.1526271241306: 78; 72.09836062945433: 78
ActivityStatus,115755,83.44659236187975,integer,4,"3: 366,947; 1: 195,354; 2: 21,226"
