Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
pkey,0,100.0,integer,89478,9104204953: 32; 9111102849: 32; 9104203359: 28
F2Kol_DJAYGOZIN,0,100.0,integer,2,"2: 513,880; 1: 46,844"
F2Kol_D20,0,100.0,integer,1,"1: 560,724"
F2Kol_D21,560724,-0.0,integer,1,
F2_D01,0,100.0,integer,19,"1: 149,951; 2: 139,877; 3: 111,602"
F2_D03,0,100.0,string,11,"3: 264,678; 1: 151,366; 2: 125,816"
F2_D04,0,100.0,integer,2,"2: 281,790; 1: 278,934"
F2_D05,0,100.0,string,14,"01: 68,632; 06: 66,588; 03: 45,772"
F2_D06,0,100.0,string,102,"--: 14,361; 68: 11,669; 65: 11,283"
F2_D07,0,100.0,string,101,"22: 11,779; 23: 11,615; 18: 11,245"
F2_D08,0,100.0,integer,3,"1: 553,250; 2: 6,994; 3: 480"
F2_D09,0,100.0,integer,4,"1: 556,462; 2: 4,018; 3: 128"
F2_D10,6329,98.87128070137892,integer,3,"2: 526,705; 1: 27,690"
F2_D11,533034,4.938258394504247,integer,7,"1: 22,572; 4: 2,124; 2: 1,946"
F2_D12,555606,0.9127485179874606,integer,10,"8: 2,245; 9: 841; 7: 653"
F2_D13,558474,0.40126693346459463,string,32,23: 641; 05: 124; 12: 101
F2_D14,560596,0.022827629992649978,integer,7,3: 96; 6: 22; 1: 5
F2_D15,45970,91.8016706971701,integer,3,"2: 376,567; 1: 138,187"
F2_D16,45970,91.8016706971701,integer,3,"1: 417,224; 2: 97,530"
F2_D17,143500,74.4080866879249,integer,10,"11: 155,859; 21: 89,095; 41: 71,761"
F2_D18,403585,28.0243042923078,string,25,"22: 38,327; 52: 24,409; 42: 21,447"
F2_D19,82139,85.35126015651193,integer,5,"1: 275,543; 4: 175,814; 2: 23,981"
F3_D01,82139,85.35126015651193,integer,3,"2: 348,953; 1: 129,632"
F3_D02,211771,62.23257788145327,integer,3,"2: 346,546; 1: 2,407"
F3_D03,214178,61.803311433075805,integer,3,"2: 330,976; 1: 15,570"
F3_D04,229748,59.02654425350082,integer,3,"2: 330,344; 1: 632"
F3_D05,230380,58.91383283041212,integer,3,"2: 329,536; 1: 808"
F3_D06,231188,58.76973341608349,integer,3,"2: 322,119; 1: 7,417"
F3_D07,553307,1.322754153558614,string,14,"01: 3,061; 07: 1,342; 03: 829"
F3_D08,404527,27.85630720283062,integer,3,"2: 150,955; 1: 5,242"
F3_D09,404258,27.904280893987053,string,350,"9314: 16,533; 6121: 16,003; 6111: 15,817"
F3_D10,404258,27.904280893987053,string,357,"4521: 20,171; 0124: 17,280; 0111: 16,661"
F3_D11,404258,27.904280893987053,integer,11,"2: 59,318; 4: 53,269; 5: 22,206"
F3_D12,426636,23.91336914417789,string,8,"1: 111,938; 2: 10,760; 5: 4,606"
F3_D13,404258,27.904280893987053,string,5,"2: 108,349; 1: 48,114; &: 3"
F3_D14SAL,404258,27.904280893987053,string,83,"00: 12,489; 02: 11,609; 10: 10,703"
F3_D14MAH,404258,27.904280893987053,string,15,"00: 127,248; 06: 5,262; 01: 5,073"
F3_D15SAL,404258,27.904280893987053,string,83,"20: 9,248; 10: 8,460; 30: 7,410"
F3_D15MAH,404258,27.904280893987053,string,15,"00: 133,112; 06: 4,570; 03: 3,641"
F3_D16SHASLIR,406681,27.472160991860527,integer,8,"6: 61,295; 7: 52,091; 5: 13,492"
F3_D16SHASLIS,406678,27.47269601443848,integer,117,"48: 31,575; 60: 13,496; 70: 11,780"
F3_D16SHHAMRO,406672,27.473766059594386,integer,8,"6: 61,143; 7: 53,360; 5: 13,294"
F3_D16SHHAMSA,406669,27.474301082172335,integer,122,"48: 31,436; 60: 13,569; 70: 12,634"
F3_D17,500996,10.651942845321404,string,12,"1: 14,976; 7: 11,770; 6: 10,997"
F3_D18SHANBEH,404273,27.901605781097295,integer,25,"8: 47,387; 10: 29,907; 0: 21,581"
F3_D18YEKSHAN,404290,27.898573986488895,integer,24,"8: 46,533; 10: 29,414; 0: 24,404"
F3_D18DOSHANB,404268,27.902497485393884,integer,25,"8: 48,297; 10: 30,224; 0: 18,957"
F3_D18SESHANB,404284,27.899644031644797,integer,23,"8: 47,672; 10: 29,634; 0: 22,266"
F3_D18CHARSHA,404272,27.90178412195662,integer,25,"8: 46,769; 10: 29,336; 0: 23,375"
F3_D18PANSHAN,404293,27.898038963910942,integer,24,"8: 42,063; 0: 36,302; 10: 27,084"
