Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
pkey,0,100.0,integer,119802,104212653: 37; 121212664: 28; 104214052: 28
NobatAmargiri,0,100.0,integer,4,"4: 172,713; 3: 171,052; 2: 169,479"
F2Kol_DJAYGOZIN,0,100.0,integer,2,"2: 655,544; 1: 18,915"
F2_D01,0,100.0,integer,20,"1: 206,651; 2: 186,218; 3: 139,683"
F2_D03,0,100.0,string,11,"3: 286,228; 1: 207,978; 2: 167,274"
F2_D04,0,100.0,integer,2,"2: 337,695; 1: 336,764"
F2_D05,0,100.0,string,14,"--: 78,400; 06: 76,835; 01: 73,732"
F2_D06,0,100.0,string,102,"--: 16,851; 65: 13,762; 64: 12,621"
F2_D07,0,100.0,string,101,"36: 13,392; 35: 12,763; 09: 12,746"
F2_D08,0,100.0,integer,3,"1: 661,489; 2: 12,136; 3: 834"
F2_D09,0,100.0,integer,4,"1: 672,651; 2: 1,685; 3: 98"
F2_D10,5578,99.17296677781748,integer,3,"2: 651,606; 1: 17,275"
F2_D11,657184,2.561312103478497,integer,7,"1: 14,827; 4: 995; 2: 796"
F2_D12,672011,0.3629575704379384,string,11,"8: 1,276; 9: 432; 7: 205"
F2_D13,673446,0.15019445214609073,integer,32,23: 297; 6: 63; 5: 59
F2_D14,674361,0.014530164176029814,string,7,3: 72; 6: 11; 2: 9
F2_D15,53274,92.10122483353325,integer,3,"2: 462,369; 1: 158,816"
F2_D16,53274,92.10122483353325,integer,3,"1: 537,677; 2: 83,508"
F2_D17,136782,79.71974575178031,integer,10,"1: 197,914; 2: 121,322; 4: 100,521"
F2_D18,456133,32.3705369785265,string,13,"02: 65,277; 07: 38,364; 05: 38,357"
F2_D19,103807,84.60884946305113,string,6,"1: 350,409; 4: 180,662; 2: 31,559"
F3_D01,103807,84.60884946305113,integer,3,"2: 406,261; 1: 164,391"
F3_D02,268198,60.23509212568888,integer,3,"2: 402,393; 1: 3,868"
F3_D03,272066,59.66159544167993,integer,3,"2: 392,204; 1: 10,189"
F3_D04,282255,58.15090316831713,integer,3,"2: 391,175; 1: 1,029"
F3_D05,283284,57.99833644446883,integer,3,"2: 389,675; 1: 1,500"
F3_D06,284784,57.77593597238675,integer,3,"2: 383,143; 1: 6,532"
F3_D07,667927,0.9684799224267127,string,14,"01: 2,588; 07: 1,230; 03: 955"
F3_D08,487215,27.762102663023256,integer,3,"2: 179,415; 1: 7,829"
F3_D09,486950,27.80139341309108,string,409,"5224: 15,990; 9314: 15,499; 6121: 14,384"
F3_D10,486950,27.80139341309108,string,432,"41000: 17,179; 01440: 11,333; 01110: 9,832"
F3_D11,486950,27.80139341309108,integer,11,"2: 75,807; 4: 69,609; 5: 25,390"
F3_D12,512546,24.00635175748267,string,8,"1: 131,605; 2: 13,466; 5: 6,541"
