Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
pkey,0,100.0,integer,90915,9024204539: 33; 9006200840: 28; 9011201345: 28
F2Kol_DJAYGOZIN,0,100.0,integer,2,"2: 532,873; 1: 47,815"
F2Kol_D20,0,100.0,integer,1,"1: 580,688"
F2Kol_D21,580688,-0.0,integer,1,
F2_D01,0,100.0,integer,21,"1: 152,370; 2: 142,716; 3: 114,783"
F2_D03,0,100.0,string,11,"3: 278,921; 1: 153,810; 2: 128,718"
F2_D04,0,100.0,integer,2,"2: 291,329; 1: 289,359"
F2_D05,0,100.0,string,14,"01: 72,509; 06: 70,805; 03: 47,823"
F2_D06,0,100.0,string,102,"--: 12,668; 72: 12,630; 68: 12,494"
F2_D07,0,100.0,string,101,"18: 12,740; 22: 12,583; 17: 12,200"
F2_D08,0,100.0,integer,3,"1: 573,438; 2: 6,641; 3: 609"
F2_D09,0,100.0,integer,4,"1: 575,583; 2: 4,585; 4: 409"
F2_D10,6978,98.79832199046648,integer,3,"2: 547,411; 1: 26,299"
F2_D11,554389,4.528938087234458,integer,7,"1: 21,170; 4: 2,305; 2: 1,916"
F2_D12,575559,0.8832626126250243,integer,10,"8: 2,092; 9: 699; 7: 682"
F2_D13,578194,0.4294905353649514,string,32,23: 728; 06: 150; 05: 137
F2_D14,580577,0.019115256385526802,string,6,3: 91; 6: 12; 2: 6
F2_D15,49546,91.46770727137465,integer,3,"2: 386,756; 1: 144,386"
F2_D16,49546,91.46770727137465,integer,3,"1: 431,341; 2: 99,801"
F2_D17,149347,74.28102526658034,integer,10,"11: 157,067; 21: 96,065; 41: 76,094"
F2_D18,418819,27.875382305127715,string,25,"22: 41,203; 52: 23,803; 42: 21,863"
F2_D19,86728,85.06461301077343,integer,5,"1: 280,730; 4: 186,249; 2: 23,942"
F3_D01,86728,85.06461301077343,integer,3,"2: 361,782; 1: 132,178"
F3_D02,218906,62.30230347449921,integer,3,"2: 359,655; 1: 2,127"
F3_D03,221033,61.936013831868394,integer,3,"2: 343,613; 1: 16,042"
F3_D04,237075,59.17342876036702,integer,3,"2: 343,060; 1: 553"
F3_D05,237628,59.07819689747333,integer,3,"2: 342,320; 1: 740"
F3_D06,238368,58.950761854903156,integer,3,"2: 333,609; 1: 8,711"
F3_D07,571977,1.5001171024715543,string,14,"01: 3,911; 07: 1,245; 03: 785"
F3_D08,420784,27.536990604248757,integer,3,"2: 154,140; 1: 5,764"
F3_D09,420337,27.613968258341824,string,346,"9314: 16,853; 6121: 16,725; 6111: 16,394"
F3_D10,420337,27.613968258341824,string,357,"4521: 20,513; 0124: 18,005; 0111: 17,285"
F3_D11,420337,27.613968258341824,integer,11,"2: 60,051; 4: 54,194; 5: 23,086"
F3_D12,443614,23.60544733144132,string,8,"1: 114,079; 2: 10,722; 5: 5,223"
F3_D13,420337,27.613968258341824,string,5,"2: 111,789; 1: 48,550; &: 12"
F3_D14SAL,420338,27.613796048824845,string,83,"00: 12,979; 02: 12,082; 10: 11,020"
F3_D14MAH,420338,27.613796048824845,string,15,"00: 128,038; 01: 6,061; 06: 5,648"
F3_D15SAL,420339,27.613623839307856,string,84,"20: 9,588; 10: 8,966; 30: 7,479"
F3_D15MAH,420339,27.613623839307856,string,15,"00: 134,570; 06: 4,717; 02: 4,102"
F3_D16SHASLIR,423364,27.092690050422952,integer,8,"6: 64,648; 7: 53,083; 5: 12,151"
F3_D16SHASLIS,423360,27.093378888490893,integer,117,"48: 33,463; 60: 13,498; 70: 11,621"
F3_D16SHHAMRO,423355,27.094239936075827,integer,8,"6: 64,438; 7: 54,465; 5: 11,860"
F3_D16SHHAMSA,423351,27.094928774143778,integer,120,"48: 33,249; 60: 13,596; 70: 12,342"
F3_D17,520070,10.438996500702613,string,12,"1: 15,668; 7: 11,925; 6: 11,509"
F3_D18SHANBEH,420376,27.607252087179347,integer,25,"8: 49,697; 10: 29,717; 0: 22,062"
F3_D18YEKSHAN,420404,27.602430220703724,integer,25,"8: 49,874; 10: 29,639; 0: 22,532"
F3_D18DOSHANB,420370,27.60828534428127,integer,25,"8: 48,845; 10: 29,402; 0: 22,998"
F3_D18SESHANB,420403,27.602602430220703,integer,24,"8: 47,189; 10: 28,498; 0: 27,996"
F3_D18CHARSHA,420395,27.603980106356595,integer,26,"8: 48,265; 10: 28,818; 0: 25,001"
F3_D18PANSHAN,420439,27.596402887609184,integer,25,"8: 44,050; 0: 36,206; 10: 26,700"
F3_D18JOMEH,420651,27.559894470007997,integer,24,"0: 100,681; 8: 12,992; 10: 12,968"
F3_D18JAM,420337,27.613968258341824,integer,122,"48: 26,926; 60: 12,238; 70: 11,420"
F3_D19,552978,4.771925715702752,string,12,"1: 10,285; 9: 4,438; 4: 3,564"
F3_D20,577166,0.6065219188273185,string,5,"1: 2,702; 2: 779; &: 41"
F3_D21,420337,27.613968258341824,integer,3,"2: 129,124; 1: 31,227"
F3_D22,549461,5.377586586945138,integer,3,"1: 29,376; 2: 1,851"
F3_D23,551312,5.058826771002678,integer,5,"1: 14,786; 4: 6,819; 2: 4,360"
F3_D24,420337,27.613968258341824,integer,3,"2: 149,150; 1: 11,201"
F3_D25,569487,1.928918799768553,string,9,"1: 9,937; 4: 444; 3: 437"
F3_D26,569548,1.9184140192323618,integer,4,"3: 4,832; 2: 3,785; 1: 2,523"
F3_D27ROZ,420337,27.613968258341824,string,11,"6: 83,877; 7: 52,272; 5: 10,253"
F3_D27SAAT,420337,27.613968258341824,string,117,"048: 44,804; 060: 17,653; 070: 13,956"
F3_D28,574924,0.9926156559116106,integer,143,"6121: 2,099; 6111: 1,461; 6112: 605"
F3_D29,574924,0.9926156559116106,integer,157,"124: 2,120; 111: 1,447; 113: 545"
F3_D30,574924,0.9926156559116106,string,12,"02: 4,207; 03: 777; 04: 381"
F3_D31,247079,57.4506447524316,integer,3,"2: 313,577; 1: 20,032"
F3_D1_32,560656,3.449701044278508,integer,3,"2: 15,666; 1: 4,366"
F3_D2_32,560656,3.449701044278508,integer,3,"2: 13,949; 1: 6,083"
F3_D3_32,560656,3.449701044278508,integer,3,"2: 11,565; 1: 8,467"
F3_D4_32,560656,3.449701044278508,integer,3,"1: 18,297; 2: 1,735"
F3_D5_32,560656,3.449701044278508,integer,3,"2: 16,414; 1: 3,618"
F3_D6_32,560656,3.449701044278508,integer,3,"2: 18,833; 1: 1,199"
F3_D7_32,560656,3.449701044278508,integer,3,"2: 13,259; 1: 6,773"
F3_D8_32,560656,3.449701044278508,integer,3,"2: 19,197; 1: 835"
F3_D9_32,580688,-0.0,integer,1,
F3_D33,267111,54.000943708153095,string,15,"10: 148,007; 09: 101,252; 12: 20,328"
F3_D34,559302,3.6828727302785635,integer,3,"1: 20,293; 2: 1,093"
F3_D35SAL,560395,3.4946477282120525,string,24,"00: 9,018; 01: 4,161; 02: 2,995"
F3_D35MAH,560395,3.4946477282120525,string,15,"00: 9,697; 01: 2,268; 02: 2,047"
F3_D36,560395,3.4946477282120525,integer,7,"1: 11,443; 2: 7,090; 6: 914"
F3_D37SAL,569245,1.9705935028793475,integer,55,"2: 2,394; 1: 1,123; 3: 919"
F3_D37MAH,569247,1.9702490838453657,integer,13,"0: 9,110; 6: 717; 2: 280"
F3_D38,569244,1.9707657123963274,integer,3,"2: 11,117; 1: 327"
F3_D39,560395,3.4946477282120525,integer,3,"1: 11,509; 2: 8,784"
F3_D40SAL,569179,1.9819593310004713,string,9,"00: 6,918; 01: 1,939; 02: 1,369"
F3_D40MAH,569179,1.9819593310004713,string,15,"00: 3,848; 01: 1,843; 02: 1,494"
F3_D41,569179,1.9819593310004713,string,278,"9314: 2,522; 0112: 2,350; 9211: 616"
F3_D42,569179,1.9819593310004713,string,293,"4521: 2,870; 7522: 2,255; 0111: 501"
F3_D43,569179,1.9819593310004713,string,13,"04: 6,786; 05: 2,772; 02: 1,326"
F3_D44,569179,1.9819593310004713,string,17,"04: 3,159; 11: 2,375; 01: 1,386"
F3_D45,573729,1.1984060287107745,integer,3,"1: 6,565; 2: 394"
F3_D46,579201,0.25607555175929386,string,8,5: 625; 4: 308; 1: 251
F3_D47,267372,53.95599702421955,string,8,"2: 152,755; 1: 101,277; 5: 26,332"
F3_D48SAAT,560395,3.4946477282120525,integer,19,"8: 13,272; 6: 2,479; 10: 2,018"
F3_D48ROZ,560395,3.4946477282120525,integer,8,"6: 16,259; 7: 3,007; 5: 580"
F3_D49,560395,3.4946477282120525,string,5,"2: 15,332; 1: 4,956; &: 5"
F3_D50,560395,3.4946477282120525,string,6,"3: 15,046; 2: 3,521; 1: 1,722"
IW10_Yearly,0,100.0,floating,54858,99.88175: 580; 97.8905: 565; 101.533: 551
IW15_Yearly,580688,-0.0,integer,1,
ActivityStatus,86728,85.06461301077343,integer,4,"3: 313,316; 1: 160,351; 2: 20,293"
NobatAmargiri,0,100.0,integer,4,"4: 147,856; 3: 146,837; 2: 145,899"
