Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
F3_D38,681344,2.1102478046986395,integer,3,"2: 14,234; 1: 454"
F3_D39,670323,3.6936520159992603,integer,3,"1: 14,619; 2: 11,090"
F3_D40SAL,681413,2.1003344673808155,integer,7,"0: 8,913; 1: 2,673; 2: 1,631"
F3_D40MAH,681413,2.1003344673808155,integer,13,"0: 4,521; 1: 2,338; 2: 1,749"
F3_D41,681413,2.1003344673808155,string,336,"9314: 2,739; 0510: 2,011; 5224: 998"
F3_D42,681413,2.1003344673808155,string,353,"41000: 3,062; 84220: 1,816; 43300: 489"
F3_D43,681413,2.1003344673808155,string,13,"04: 9,571; 05: 2,390; 02: 2,206"
F3_D44,681413,2.1003344673808155,string,17,"04: 4,169; 01: 2,124; 11: 2,045"
F3_D45,688075,1.1431945657670917,integer,3,"1: 7,594; 2: 363"
F3_D46,694885,0.16479127396441529,string,8,5: 417; 4: 316; 2: 154
F3_D47,344415,50.51736127074618,integer,6,"2: 183,041; 1: 98,853; 5: 24,219"
F3_D48SAAT,670323,3.6936520159992603,integer,22,"8: 16,160; 6: 3,160; 10: 2,119"
F3_D48ROZ,670323,3.6936520159992603,integer,8,"6: 19,894; 7: 2,621; 5: 1,808"
F3_D49,670323,3.6936520159992603,string,5,"2: 20,073; 1: 5,453; &: 183"
F3_D50,670323,3.6936520159992603,string,6,"3: 16,928; 2: 6,213; 1: 2,105"
IW_Yearly,0,100.0,floating,41662,63.909388395: 365; 63.5456857: 346; 136.279240305: 335
ActivityStatus,116655,83.23999471288677,integer,4,"3: 351,617; 1: 202,051; 2: 25,709"
