,Year,Value,Replace_Value,Frequency
0,1387,X000,000,177.0
1,1388,X000,000,19.0
2,1390,X000,000,3.0
3,1391,X000,000,3.0
4,1392,X000,000,68.0
5,1393,X000,000,18.0
6,1394,X000,000,23.0
7,1395,X000,000,17.0
8,1396,X000,000,61.0
9,1397,X000,000,26.0
10,1398,X000,000,21.0
11,1399,X000,000,10.0
12,1400,X000,000,14.0
13,1401,X000,000,3640.0
