Year,False,Missing,True
1384,56.22,41.71,2.08
1385,56.66,40.88,2.46
1386,56.89,40.32,2.79
1387,58.5,38.7,2.8
1388,57.12,39.18,3.69
1389,58.36,38.35,3.29
1390,59.17,38.06,2.76
1391,59.03,38.2,2.78
1392,56.7,41.31,1.99
1393,57.21,40.89,1.91
1394,56.58,41.33,2.08
1395,56.87,40.95,2.18
1396,55.95,41.7,2.35
1397,54.93,42.78,2.29
1398,54.91,42.78,2.31
1399,57.35,40.66,1.99
1400,57.86,40.41,1.73
1401,58.15,40.34,1.51
