Year,Missing,False,True
1384,96.31,2.37,1.32
1385,96.4,2.18,1.42
1386,96.63,2.09,1.29
1387,96.75,2.0,1.25
1388,96.61,2.34,1.06
1389,96.46,2.44,1.1
1390,96.55,2.28,1.17
1391,96.62,2.18,1.2
1392,97.0,1.75,1.25
1393,96.9,1.84,1.26
1394,96.63,1.98,1.39
1395,96.25,2.3,1.45
1396,96.31,2.13,1.56
1397,96.34,2.19,1.47
1398,96.69,2.04,1.28
1399,97.01,1.89,1.1
1400,97.2,1.74,1.07
1401,97.33,1.67,1.0
