,Year,Value,Replace_Value,Frequency
0,1384,QQ,None,46.0
1,1384,qq,None,11.0
2,1385,QQ,None,26.0
3,1386,QQ,None,3.0
4,1387,QQ,None,3.0
5,1395,QQ,None,2.0
6,1397,QQ,None,7.0
7,1398,QQ,None,1.0
8,1398,99,None,10.0
9,1399,QQ,None,18.0
10,1399,99,None,12.0
11,1400,QQ,None,5.0
12,1401,QQ,None,2.0
