Year,False,Missing,True
1387,58.4,41.5,0.1
1388,56.97,42.88,0.16
1389,58.22,41.64,0.14
1390,59.08,40.83,0.1
1391,58.91,40.97,0.11
1392,56.62,43.3,0.09
1393,57.12,42.79,0.09
1394,56.45,43.42,0.13
1395,56.73,43.13,0.14
1396,55.81,44.05,0.14
1397,54.72,45.07,0.21
1398,54.7,45.09,0.22
1399,57.16,42.65,0.19
1400,57.69,42.14,0.17
1401,58.0,41.85,0.15
